"GEOID","B01001_001","B25001_001","B26001_001","residentialStability","populationCrowding","mentalHealthProvider","ambulanceEmergencyPerCapita","perEnglishLessThanWell","perRenters","perSingleParentHouseholds","perUnitsForSale","perUnitsRecreational","sexualOffenseRate","homicideRate","neighborhoodStability","safety_score","safety_rnk","crime_score","infrastructure_score","social_cohesion_score","structural_composition_score","safety_state_rnk","NAME"
"01001",55380,23493,565,88.3345032696642,5.32235621521336,0.397255326832792,0,2.46803328597524,25.9823641757081,9.59480300976773,11.0209923664122,8.73091603053435,0.0803539183820874,0.00857710364752618,11,97.52,39.2461964038728,95.86,102.29,106.92,103.79,31.8181818181818,"Autauga County, Alabama"
"01003",212830,114164,3008,88.6918962598122,7.35819441437541,0.667199173048912,0.0140957571770897,2.06568535875715,25.8548019440024,7.9031261584085,6.4211349822471,28.6273093819582,0.0120597033626212,0.00156619524189885,9,95.83,35.6500691562932,107.57,86.97,107.93,106.48,28.7878787878788,"Baldwin County, Alabama"
"01005",25361,12013,2886,85.7155748059917,10.1001430615165,0.354875596388155,0,2.97655205928806,32.2075082007047,16.1476725521669,8.47076461769115,34.4827586206897,0.0197153109104531,0.00197153109104531,12,89.97,27.4896265560166,106.56,103.87,79.85,107.74,21.2121212121212,"Barbour County, Alabama"
"01007",22493,9185,1893,91.9201896483603,4.79594642366157,0.177833103632241,0,2.6937676013224,19.6691176470588,10.3323175156001,3.44376634699215,10.1133391455972,0.0666874138620904,0.00222291379540301,14,116.77,79.045643153527,102.17,110.46,105.64,82.37,71.2121212121212,"Bibb County, Alabama"
"01009",57681,24323,551,93.7023305084746,2.94826490027058,0.19070404465942,0,3.63301060396496,17.540462027943,7.89082361970547,3.36593785960875,7.47986191024166,0.0485428477314887,0.00173367313326745,13,120.49,86.5836791147995,104.18,109.98,113.38,80.51,84.8484848484848,"Blount County, Alabama"
"01011",10248,4557,437,94.0598115526424,9.732868757259,0,0,0.694605232692753,22.9557563122539,23.6864527122976,0.482625482625483,27.4131274131274,0,0.0195160031225605,15,112.14,69.5712309820194,94.29,117.08,66.82,75.78,57.5757575757576,"Bullock County, Alabama"
"01013",19828,10089,323,94.0996526157515,7.53345776577578,0.45390357070809,0,0.127877237851662,27.1227621483376,11.5739317553028,6.22383477532794,6.4471113591962,0.015130119023603,0.0201734920314706,14,108.07,60.8921161825726,92.42,100.18,102.7,84.9,53.030303030303,"Butler County, Alabama"
"01015",114618,53631,3134,85.5366224219653,6.58718043923704,0.697970650334153,0.0348985325167077,2.03359671235198,29.942871869765,13.0344131823787,7.35652559273211,10.6137824063816,0.0344623008602488,0.00959709644209461,11,88.06,25.4149377593361,99.15,78.06,96.76,112.26,16.6666666666667,"Calhoun County, Alabama"
"01017",33660,16988,532,90.4095812762845,9.54904737972312,0.386215092097445,0,1.68441567481033,32.0710059171598,12.1058893515764,7.20338983050847,31.0734463276836,0.0445632798573975,0.0103980986333928,12,97.55,39.3153526970954,97.6,102.7,93.89,99.03,33.3333333333333,"Chambers County, Alabama"
"01019",25903,16579,275,90.9897126640653,3.86996904024768,1.35119484229626,0,0.973137354282818,20.4156107450583,6.6219614417435,4.94693598082848,54.4162957891133,0.0521175153457129,0.00386055669227503,14,111.79,68.7413554633472,102.16,66.76,120.55,79.12,56.0606060606061,"Cherokee County, Alabama"
