"GEOID","B01001_001","B25001_001","B26001_001","residentialStability","populationCrowding","mentalHealthProvider","ambulanceEmergencyPerCapita","perEnglishLessThanWell","perRenters","perSingleParentHouseholds","perUnitsForSale","perUnitsRecreational","sexualOffenseRate","homicideRate","neighborhoodStability","safety_score","safety_rnk","crime_score","infrastructure_score","social_cohesion_score","structural_composition_score","safety_state_rnk","NAME"
"35051",11031,8555,264,91.7826127556261,4.97432134996332,0,0,3.53430353430353,28.2234105763518,11.5031503150315,12.5,50.1,0.054392167527876,0.009065361254646,13,106.4,57.9923273657289,97.54,104.77,101,87.93,56.25,"Sierra County, New Mexico"
"35053",16858,8234,517,88.8209121245829,3.9892338748438,0.177957053031202,0,8.91052728274848,28.3442469597755,9.00442477876106,5.70813139472267,50.6192784060312,0.0237276070708269,0.0118638035354135,16,111.62,69.5012787723785,98.06,104.25,97.13,84.64,71.875,"Socorro County, New Mexico"
"35055",32786,20916,597,91.670317291445,4.29326117768329,0.823522235100348,0,5.6297498708773,22.874251497006,10.4850037180864,2.99557471916487,46.1931237943946,0.012200329408894,0.00152504117611176,15,119.15,84.8145780051151,107.69,102.36,100.18,78.29,81.25,"Taos County, New Mexico"
"35057",15519,8026,315,91.1754867197431,1.69213973799127,0,0,3.94298407997038,21.3306152705708,8.92983699503898,7.26280436607892,20.7808564231738,0.0966557123526,0.01288742831368,13,111.87,69.9488491048593,90.45,104.77,112.44,87.39,75,"Torrance County, New Mexico"
"35059",4133,2347,648,89.4844756883421,3.37264638940617,0,0,7.02702702702703,28.7162162162162,8.24372759856631,4.30672268907563,72.7941176470588,0.0120977498185338,0,10,106.36,57.8964194373402,108.96,104.77,104.08,98.91,53.125,"Union County, New Mexico"
"35061",76027,31208,1446,89.9639194834789,2.29360402402607,0.105225775053599,0,6.92079309285739,18.7461585740627,11.2958163643095,12.2677465459743,15.0786088613626,0.0170991884462099,0.00131532218816999,13,108.03,61.8925831202046,107.41,104.46,99.58,88.42,62.5,"Valencia County, New Mexico"
"36001",306968,141553,17394,86.1427530395428,25.7732088039967,0.759036772562612,0.0358343540694796,4.66336991002514,37.914967967385,9.67836257309941,8.34610004662626,12.6290548191567,0.0358343540694796,0.00456073597247922,9,65.97,6.32992327365729,102.99,98.52,61.37,123.73,8.19672131147541,"Albany County, New York"
"36003",46688,26373,4846,90.4289233444428,6.61998977304016,0.444123686573599,0.0107083742309468,0.767459708365311,19.0263510495757,9.91196790728772,4.09495548961424,72.5697329376855,0.071160429841946,0.00442339448439351,14,119.92,86.381074168798,99.82,102.27,107.2,77.18,88.5245901639344,"Allegany County, New York"
"36005",1435068,529796,44110,92.3725364931564,48.7915302304176,0.634094067200885,0.0131900170783346,28.2754903408096,75.743680167779,22.1190126014977,6.58913236030346,4.59044171448377,0.071160429841946,0.00442339448439351,11,14.35,0,99.82,101.43,-62.67,137.08,0,"Bronx County, New York"
"36007",193188,90946,10057,86.0411319549245,19.1687553776514,0.683272252934965,0.036234134625339,2.14407826004369,28.3712257909299,9.74550917261837,7.38888440751795,18.585141566508,0.0568099467875852,0.00194111435492888,12,86.09,22.4424552429668,103.21,98.7,79.71,106.38,24.5901639344262,"Broome County, New York"
