"GEOID","B01001_001","B25001_001","B26001_001","residentialStability","populationCrowding","perEnglishLessThanWell","perRenters","perSingleParentHouseholds","perUnitsRecreational","sexualOffenseRate","homicideRate","neighborhoodStability","mentalHealthProvider","ambulanceEmergencyPerCapita","safety_score","safety_rnk","crime_score","infrastructure_score","social_cohesion_score","structural_composition_score","safety_state_rnk","NAME"
"01001",59285,24731,503,90.4751255762747,5.53639499001634,1.02683867141163,23.8503189437769,9.27940327665053,6.38586956521739,0.0969891203508476,0.00843383655224762,10,40.4824154507886,0,98.69,40.5994550408719,96.29,100.77,110,105.2,34.8484848484848,"Autauga County, Alabama"
"01003",239945,128518,3280,89.0405641180962,7.66537623490089,2.08239022181983,21.5669763482252,7.25365059909977,48.6214429094344,0.014586676113276,0.00208381087332514,8,52.0952718331284,1.25028652399508,96,36.2057220708447,105.86,91.63,108.26,107.48,28.7878787878788,"Baldwin County, Alabama"
"01005",24757,11702,3067,88.9110564654572,9.95456134218805,4.15584415584416,27.786962683042,16.1563876651982,23.951182303585,0.0201963081148766,0.00201963081148766,13,24.2355697378519,0,94.63,33.208446866485,105.53,107.41,78.4,100.64,25.7575757575758,"Barbour County, Alabama"
"01007",22152,9090,1382,87.7510333090202,3.93646964213912,1.10497237569061,14.4847465769877,14.1592920353982,11.7840684660961,0.0541711809317443,0.00451426507764536,13,31.5998555435175,0,107.52,60.8310626702997,101.67,104.4,101.46,93.35,55.3030303030303,"Bibb County, Alabama"
"01009",59292,24793,572,89.09534695842,3.14943336554511,3.89006006125452,13.6150234741784,9.98771442872093,11.6122159090909,0.0472239087903933,0.00168656817108548,12,28.6716589084531,0,109.77,65.9741144414169,103.98,105.6,106.13,92.73,69.6969696969697,"Blount County, Alabama"
"01011",10157,4554,1035,84.8141985579589,12.291933418694,0.987584650112867,33.5214446952596,21.2568780770345,42.0526793823797,0,0.0196908535985035,15,0,0,89.44,26.0899182561308,95.28,117.31,69.56,106.25,21.2121212121212,"Bullock County, Alabama"
"01013",18807,9841,313,94.7805197641406,7.96925904268649,1.05906313645621,28.3638832315003,12.2004957312035,12.0977122915859,0.0159515074174509,0.0212686765566013,15,31.9030148349019,0,108.42,63.1130790190736,93.2,104.28,98.57,83.38,63.6363636363636,"Butler County, Alabama"
"01015",116141,53271,4020,89.0471428700125,6.73070264131082,1.32157680632705,29.4158509630565,11.8404432132964,5.05769702921679,0.037023962252779,0.0133458468585599,11,63.7156559698987,3.44408951188641,89.93,26.8392370572207,97.01,79.17,101.12,110.19,22.7272727272727,"Calhoun County, Alabama"
"01017",34450,16427,669,92.1050273321982,8.62659464429376,1.23999149720116,26.5044814340589,12.4972054549519,26.0970744680851,0.0609579100145138,0.011611030478955,11,20.3193033381713,0,100.09,43.0177111716621,96.57,109.01,96.23,98.37,36.3636363636364,"Chambers County, Alabama"
"01019",25224,14663,283,91.0911072538651,3.00858630248124,1.48684339235058,20.8060256284848,7.8266679392956,53.8939321548017,0.0634316523945449,0.00396447827465905,14,130.827783063749,0,107.31,60.149863760218,101.42,63.86,117.04,83.14,53.030303030303,"Cherokee County, Alabama"
"01021",45500,19702,401,92.7403342034223,2.32804813372104,6.98924731182796,23.4579187953751,10.3850974136949,26.2104283054004,0.021978021978022,0.00549450549450549,12,32.967032967033,0,107.98,62.091280653951,103.14,103.84,99.49,91.27,60.6060606060606,"Chilton County, Alabama"
"01023",12525,7164,146,96.6766880637036,2.28131749460043,0,16.8604651162791,10.7460378817163,18.7939698492462,0.0479041916167665,0.0159680638722555,16,0,0,130.66,96.9346049046322,94.58,117.31,115.09,65.47,98.4848484848485,"Choctaw County, Alabama"
"01025",22802,11727,371,93.5046267181745,6.05002699298182,0.216753793191381,19.806023481368,14.0321817321344,31.206106870229,0.0306990614858346,0.00438558021226208,14,26.3134812735725,0,114.66,76.7029972752044,103.29,106.56,99.87,79.68,78.7878787878788,"Clarke County, Alabama"
"01027",14188,7072,245,92.7166208592507,5.02843460041904,1.00658857979502,19.8023426061493,9.74848222029488,9.56388676358072,0.0281928390188892,0,14,28.1928390188892,0,114.88,77.5204359673024,106.33,105.8,109.91,84.05,80.3030303030303,"Clay County, Alabama"
"01029",15254,6853,163,91.1431444854174,3.54665914857626,0.672947510094213,17.2500841467519,7.98427081552402,19.5219123505976,0.0065556575324505,0.0065556575324505,16,0,0,124.29,92.5068119891008,103.45,117.31,117.57,77.99,92.4242424242424,"Cleburne County, Alabama"
"01031",54231,24399,739,85.1898998727034,7.1343621487627,3.99064084232419,31.819167859777,12.3633748801534,9.04210228878214,0.0590068411056407,0.00276594567682691,10,33.1913481219229,0,83.84,19.0735694822888,102.5,103.75,92.9,123.4,15.1515151515152,"Coffee County, Alabama"
"01033",57648,27887,451,91.1818262176257,8.28220858895705,1.5501151848815,25.375,11.2895899574679,17.7384196185286,0.0277546489036914,0.00346933111296142,11,58.9786289203442,0,96.56,36.8528610354223,104.09,93.22,98.96,100.47,30.3030303030303,"Colbert County, Alabama"
"01035",11411,6444,79,93.222460658083,6.6463372375078,0.32602252519265,23.3847065797273,9.29770318021201,25.1043841336117,0.0175269476820612,0.0175269476820612,17,26.2904215230918,0,118.57,84.0940054495913,95.55,106.57,109.52,74.85,84.8484848484848,"Conecuh County, Alabama"
"01037",10323,6042,337,92.0756234915527,5.1841973662277,0,13.5211995863495,8.16472268507498,40.3585008147746,0,0,16,0,0,128.77,95.6743869209809,108.18,117.31,115.66,70.21,96.969696969697,"Coosa County, Alabama"
"01039",37647,18676,643,93.0653238827618,5.03105999078078,0.414133992385278,19.6291089241481,11.417730251811,15.8096149246592,0.0398438122559567,0.00265625415039711,13,66.4063537599278,0,109.14,64.7820163487739,103.83,90.18,107.41,85.46,66.6666666666667,"Covington County, Alabama"
